Processes,Run,Time(s)
1,0,22
1,1,22
1,2,22
2,0,13
2,1,13
2,2,13
3,0,10
3,1,9
3,2,9
4,0,7
4,1,7
4,2,7
5,0,7
5,1,7
5,2,7
6,0,7
6,1,6
6,2,7
7,0,6
7,1,6
7,2,7
8,0,6
8,1,6
8,2,6
