Processes,Run,Time(s)
1,0,24
1,1,24
1,2,24
2,0,19
2,1,21
2,2,21
3,0,16
3,1,16
3,2,15
4,0,14
4,1,14
4,2,14
5,0,11
5,1,12
5,2,12
6,0,11
6,1,11
6,2,11
7,0,11
7,1,11
7,2,11
8,0,11
8,1,11
8,2,11
