Processes,Run,Time(s)
1,0,23
1,1,22
1,2,22
2,0,13
2,1,13
2,2,13
3,0,9
3,1,9
3,2,9
4,0,7
4,1,7
4,2,7
5,0,6
5,1,6
5,2,6
6,0,5
6,1,5
6,2,5
7,0,5
7,1,5
7,2,5
8,0,4
8,1,4
8,2,4
