Processes,Run,Time(s)
1,0,23
1,1,22
1,2,23
2,0,13
2,1,13
2,2,13
3,0,10
3,1,10
3,2,10
4,0,8
4,1,9
4,2,9
5,0,7
5,1,7
5,2,7
6,0,7
6,1,7
6,2,7
7,0,7
7,1,7
7,2,7
8,0,7
8,1,6
8,2,7
